PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed Bomo_genome_assembly_chr.fa -gid -gtf Bomo_gene_models_chr.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_2414	chr11	1033592	1034962	+	0		Intergenic	Intergenic	33022	KWMTBOMO06140	KWMTBOMO06140	KWMTBOMO06140.mrna1						
Interval_9616	chr15	5204530	5205203	+	0		Intergenic	Intergenic	-8248	KWMTBOMO08780	KWMTBOMO08780	KWMTBOMO08780.mrna1						
Interval_18617	chr20	1434761	1435680	+	0		TTS (KWMTBOMO11832)	-TTS (KWMTBOMO11832)	18480	KWMTBOMO11832	KWMTBOMO11832	KWMTBOMO11832.mrna1						
Interval_32654	chr3	12363751	12364406	+	0		Intergenic	Intergenic	12321	KWMTBOMO01492	KWMTBOMO01492	KWMTBOMO01492.mrna1						
Interval_5403	chr12	13597852	13599299	+	0		Intergenic	Intergenic	-9123	KWMTBOMO07445	KWMTBOMO07445	KWMTBOMO07445.mrna1						
Interval_10128	chr15	9601393	9602124	+	0		intron (KWMTBOMO09008, intron 1 of 6)	-intron (KWMTBOMO09008, intron 1 of 6)	18172	KWMTBOMO09008	KWMTBOMO09008	KWMTBOMO09008.mrna1						
Interval_38066	chr6	9779974	9780703	+	0		Intergenic	Intergenic	-7439	KWMTBOMO03507	KWMTBOMO03507	KWMTBOMO03507.mrna1						
Interval_35375	chr5	2929133	2930341	+	0		intron (KWMTBOMO02475, intron 8 of 9)	-intron (KWMTBOMO02475, intron 8 of 9)	-6915	KWMTBOMO02474	KWMTBOMO02474	KWMTBOMO02474.mrna1						
Interval_3500	chr11	13664010	13664974	+	0		intron (KWMTBOMO06743, intron 4 of 5)	-intron (KWMTBOMO06743, intron 4 of 5)	2459	KWMTBOMO06743	KWMTBOMO06743	KWMTBOMO06743.mrna1						
Interval_1414	chr10	9744938	9745860	+	0		TTS (KWMTBOMO05774)	-TTS (KWMTBOMO05774)	3138	KWMTBOMO05774	KWMTBOMO05774	KWMTBOMO05774.mrna1						
Interval_41376	chr8	11091262	11092072	+	0		Intergenic	Intergenic	-3187	KWMTBOMO04627	KWMTBOMO04627	KWMTBOMO04627.mrna1						
Interval_23309	chr23	1236026	1237119	+	0		Intergenic	Intergenic	-22470	KWMTBOMO13547	KWMTBOMO13547	KWMTBOMO13547.mrna1						
Interval_26108	chr24	13521465	13522171	+	0		Intergenic	Intergenic	40009	KWMTBOMO14715	KWMTBOMO14715	KWMTBOMO14715.mrna1						
Interval_1187	chr10	7882017	7882795	+	0		promoter-TSS (KWMTBOMO05676)	-promoter-TSS (KWMTBOMO05676)	-359	KWMTBOMO05676	KWMTBOMO05676	KWMTBOMO05676.mrna1						
Interval_16406	chr19	4498708	4499348	+	0		Intergenic	Intergenic	-5499	KWMTBOMO11381	KWMTBOMO11381	KWMTBOMO11381.mrna1						
Interval_39164	chr7	4920446	4921084	+	0		promoter-TSS (KWMTBOMO03859)	-promoter-TSS (KWMTBOMO03859)	-51	KWMTBOMO03859	KWMTBOMO03859	KWMTBOMO03859.mrna1						
Interval_24802	chr23	17351255	17351647	+	0		intron (KWMTBOMO14074, intron 3 of 18)	-intron (KWMTBOMO14074, intron 3 of 18)	-19621	KWMTBOMO14075	KWMTBOMO14075	KWMTBOMO14075.mrna1						
Interval_4247	chr12	1440554	1441297	+	0		Intergenic	Intergenic	22765	KWMTBOMO06997	KWMTBOMO06997	KWMTBOMO06997.mrna1						
Interval_29938	chr27	8639494	8640409	+	0		TTS (KWMTBOMO16084)	-TTS (KWMTBOMO16084)	2089	KWMTBOMO16084	KWMTBOMO16084	KWMTBOMO16084.mrna1						
Interval_13645	chr17	10726026	10727675	+	0		Intergenic	Intergenic	-6247	KWMTBOMO10427	KWMTBOMO10427	KWMTBOMO10427.mrna1						
Interval_5108	chr12	10126482	10126945	+	0		intron (KWMTBOMO07296, intron 1 of 2)	-intron (KWMTBOMO07296, intron 1 of 2)	114	KWMTBOMO07296	KWMTBOMO07296	KWMTBOMO07296.mrna1						
Interval_11545	chr16	4105257	4106609	+	0		intron (KWMTBOMO09553, intron 1 of 8)	-intron (KWMTBOMO09553, intron 1 of 8)	102	KWMTBOMO09553	KWMTBOMO09553	KWMTBOMO09553.mrna1						
Interval_20956	chr21	11103519	11104827	+	0		Intergenic	Intergenic	27179	KWMTBOMO12667	KWMTBOMO12667	KWMTBOMO12667.mrna1						
Interval_8065	chr14	5634485	5635134	+	0		promoter-TSS (KWMTBOMO08326)	-promoter-TSS (KWMTBOMO08326)	-176	KWMTBOMO08326	KWMTBOMO08326	KWMTBOMO08326.mrna1						
Interval_13377	chr17	7992347	7993040	+	0		promoter-TSS (KWMTBOMO10348)	-promoter-TSS (KWMTBOMO10348)	-222	KWMTBOMO10348	KWMTBOMO10348	KWMTBOMO10348.mrna1						
Interval_24371	chr23	12906894	12907701	+	0		exon (KWMTBOMO13911, exon 4 of 9)	-exon (KWMTBOMO13911, exon 4 of 9)	3294	KWMTBOMO13911	KWMTBOMO13911	KWMTBOMO13911.mrna1						
Interval_26389	chr24	16419161	16419544	+	0		promoter-TSS (KWMTBOMO14854)	-promoter-TSS (KWMTBOMO14854)	-509	KWMTBOMO14854	KWMTBOMO14854	KWMTBOMO14854.mrna1						
Interval_24245	chr23	11420607	11421660	+	0		intron (KWMTBOMO13863, intron 1 of 5)	-intron (KWMTBOMO13863, intron 1 of 5)	4055	KWMTBOMO13863	KWMTBOMO13863	KWMTBOMO13863.mrna1						
Interval_37650	chr6	4745960	4746395	+	0		Intergenic	Intergenic	1720	KWMTBOMO03330	KWMTBOMO03330	KWMTBOMO03330.mrna1						
Interval_33745	chr4	5916374	5916712	+	0		promoter-TSS (KWMTBOMO01837)	-promoter-TSS (KWMTBOMO01837)	-58	KWMTBOMO01837	KWMTBOMO01837	KWMTBOMO01837.mrna1						
Interval_40051	chr7	12960775	12962050	+	0		promoter-TSS (KWMTBOMO04179)	-promoter-TSS (KWMTBOMO04179)	-171	KWMTBOMO04179	KWMTBOMO04179	KWMTBOMO04179.mrna1						
Interval_39920	chr7	11358922	11360035	+	0		Intergenic	Intergenic	6328	KWMTBOMO04106	KWMTBOMO04106	KWMTBOMO04106.mrna1						
Interval_24862	chr23	17958418	17959002	+	0		TTS (KWMTBOMO14101)	-TTS (KWMTBOMO14101)	3127	KWMTBOMO14101	KWMTBOMO14101	KWMTBOMO14101.mrna1						
Interval_37098	chr5	18104984	18105468	+	0		promoter-TSS (KWMTBOMO03101)	-promoter-TSS (KWMTBOMO03101)	-166	KWMTBOMO03101	KWMTBOMO03101	KWMTBOMO03101.mrna1						
Interval_24159	chr23	10788616	10789655	+	0		intron (KWMTBOMO13838, intron 3 of 5)	-intron (KWMTBOMO13838, intron 3 of 5)	20420	KWMTBOMO13838	KWMTBOMO13838	KWMTBOMO13838.mrna1						
Interval_6620	chr13	8250345	8250812	+	0		Intergenic	Intergenic	-1646	KWMTBOMO07846	KWMTBOMO07846	KWMTBOMO07846.mrna1						
Interval_25707	chr24	6842419	6843488	+	0		intron (KWMTBOMO14454, intron 14 of 18)	-intron (KWMTBOMO14454, intron 14 of 18)	25491	KWMTBOMO14455	KWMTBOMO14455	KWMTBOMO14455.mrna1						
Interval_13105	chr17	5592812	5593684	+	0		intron (KWMTBOMO10238, intron 1 of 2)	-intron (KWMTBOMO10238, intron 1 of 2)	621	KWMTBOMO10238	KWMTBOMO10238	KWMTBOMO10238.mrna1						
Interval_5178	chr12	10825765	10826535	+	0		intron (KWMTBOMO07340, intron 1 of 7)	-intron (KWMTBOMO07340, intron 1 of 7)	202	KWMTBOMO07340	KWMTBOMO07340	KWMTBOMO07340.mrna1						
Interval_26271	chr24	15331802	15334236	+	0		Intergenic	Intergenic	-2717	KWMTBOMO14797	KWMTBOMO14797	KWMTBOMO14797.mrna1						
Interval_2725	chr11	4940871	4941483	+	0		Intergenic	Intergenic	-1396	KWMTBOMO06335	KWMTBOMO06335	KWMTBOMO06335.mrna1						
Interval_6316	chr13	5483280	5484608	+	0		Intergenic	Intergenic	19537	KWMTBOMO07729	KWMTBOMO07729	KWMTBOMO07729.mrna1						
Interval_2960	chr11	8677133	8678004	+	0		promoter-TSS (KWMTBOMO06485)	-promoter-TSS (KWMTBOMO06485)	42	KWMTBOMO06485	KWMTBOMO06485	KWMTBOMO06485.mrna1						
Interval_10513	chr15	12727070	12727980	+	0		intron (KWMTBOMO09182, intron 2 of 7)	-intron (KWMTBOMO09182, intron 2 of 7)	11890	KWMTBOMO09182	KWMTBOMO09182	KWMTBOMO09182.mrna1						
Interval_4072	chr11	20422262	20423174	+	0		intron (KWMTBOMO06932, intron 2 of 26)	-intron (KWMTBOMO06932, intron 2 of 26)	10079	KWMTBOMO06932	KWMTBOMO06932	KWMTBOMO06932.mrna1						
Interval_1030	chr10	6893623	6894503	+	0		intron (KWMTBOMO05631, intron 4 of 15)	-intron (KWMTBOMO05631, intron 4 of 15)	27359	KWMTBOMO05632	KWMTBOMO05632	KWMTBOMO05632.mrna1						
Interval_38380	chr6	13521413	13522577	+	0		intron (KWMTBOMO03613, intron 2 of 16)	-intron (KWMTBOMO03613, intron 2 of 16)	774	KWMTBOMO03613	KWMTBOMO03613	KWMTBOMO03613.mrna1						
Interval_12009	chr16	8693561	8694254	+	0		promoter-TSS (KWMTBOMO09748)	-promoter-TSS (KWMTBOMO09748)	-224	KWMTBOMO09748	KWMTBOMO09748	KWMTBOMO09748.mrna1						
Interval_15276	chr18	10111155	10112434	+	0		TTS (KWMTBOMO11021)	-TTS (KWMTBOMO11021)	6354	KWMTBOMO11021	KWMTBOMO11021	KWMTBOMO11021.mrna1						
Interval_9177	chr15	958459	960144	+	0		promoter-TSS (KWMTBOMO08611)	-promoter-TSS (KWMTBOMO08611)	-679	KWMTBOMO08611	KWMTBOMO08611	KWMTBOMO08611.mrna1						
Interval_9231	chr15	1419310	1420319	+	0		TTS (KWMTBOMO08631)	-TTS (KWMTBOMO08631)	2021	KWMTBOMO08631	KWMTBOMO08631	KWMTBOMO08631.mrna1						
Interval_15417	chr18	11175446	11176122	+	0		Intergenic	Intergenic	-21292	KWMTBOMO11052	KWMTBOMO11052	KWMTBOMO11052.mrna1						
Interval_36709	chr5	14349317	14350395	+	0		Intergenic	Intergenic	6481	KWMTBOMO02952	KWMTBOMO02952	KWMTBOMO02952.mrna1						
Interval_43862	chr9	15542102	15542882	+	0		Intergenic	Intergenic	-22353	KWMTBOMO05362	KWMTBOMO05362	KWMTBOMO05362.mrna1						
Interval_10014	chr15	8704177	8705276	+	0		promoter-TSS (KWMTBOMO08956)	-promoter-TSS (KWMTBOMO08956)	-102	KWMTBOMO08956	KWMTBOMO08956	KWMTBOMO08956.mrna1						
Interval_6842	chr13	10326334	10327931	+	0		promoter-TSS (KWMTBOMO07931)	-promoter-TSS (KWMTBOMO07931)	-396	KWMTBOMO07931	KWMTBOMO07931	KWMTBOMO07931.mrna1						
Interval_17893	chr2	3594508	3595095	+	0		Intergenic	Intergenic	-10556	KWMTBOMO00823	KWMTBOMO00823	KWMTBOMO00823.mrna1						
Interval_2768	chr11	5713451	5714878	+	0		Intergenic	Intergenic	6156	KWMTBOMO06361	KWMTBOMO06361	KWMTBOMO06361.mrna1						
Interval_6311	chr13	5469669	5471936	+	0		Intergenic	Intergenic	32679	KWMTBOMO07729	KWMTBOMO07729	KWMTBOMO07729.mrna1						
Interval_27247	chr25	7225909	7226854	+	0		intron (KWMTBOMO15239, intron 4 of 11)	-intron (KWMTBOMO15239, intron 4 of 11)	8117	KWMTBOMO15239	KWMTBOMO15239	KWMTBOMO15239.mrna1						
Interval_43520	chr9	12105022	12105559	+	0		promoter-TSS (KWMTBOMO05254)	-promoter-TSS (KWMTBOMO05254)	-365	KWMTBOMO05254	KWMTBOMO05254	KWMTBOMO05254.mrna1						
Interval_9150	chr15	683367	684392	+	0		Intergenic	Intergenic	4213	KWMTBOMO08598	KWMTBOMO08598	KWMTBOMO08598.mrna1						
Interval_19335	chr20	7810373	7811475	+	0		promoter-TSS (KWMTBOMO12115)	-promoter-TSS (KWMTBOMO12115)	-988	KWMTBOMO12115	KWMTBOMO12115	KWMTBOMO12115.mrna1						
Interval_8824	chr14	11369839	11371006	+	0		promoter-TSS (KWMTBOMO08514)	-promoter-TSS (KWMTBOMO08514)	50	KWMTBOMO08514	KWMTBOMO08514	KWMTBOMO08514.mrna1						
Interval_12758	chr17	1894267	1895128	+	0		intron (KWMTBOMO10074, intron 2 of 4)	-intron (KWMTBOMO10074, intron 2 of 4)	1426	KWMTBOMO10074	KWMTBOMO10074	KWMTBOMO10074.mrna1						
Interval_2170	chr10	16110952	16111521	+	0		Intergenic	Intergenic	17725	KWMTBOMO06013	KWMTBOMO06013	KWMTBOMO06013.mrna1						
Interval_22470	chr22	10908011	10908763	+	0		promoter-TSS (KWMTBOMO13231)	-promoter-TSS (KWMTBOMO13231)	-168	KWMTBOMO13231	KWMTBOMO13231	KWMTBOMO13231.mrna1						
Interval_38113	chr6	10337136	10338452	+	0		promoter-TSS (KWMTBOMO03513)	-promoter-TSS (KWMTBOMO03513)	-290	KWMTBOMO03513	KWMTBOMO03513	KWMTBOMO03513.mrna1						
Interval_14289	chr17	16679501	16680116	+	0		Intergenic	Intergenic	-1123	KWMTBOMO10635	KWMTBOMO10635	KWMTBOMO10635.mrna1						
Interval_42133	chr9	686794	688459	+	0		Intergenic	Intergenic	-12580	KWMTBOMO04875	KWMTBOMO04875	KWMTBOMO04875.mrna1						
Interval_26021	chr24	12122502	12123208	+	0		Intergenic	Intergenic	-12237	KWMTBOMO14658	KWMTBOMO14658	KWMTBOMO14658.mrna1						
Interval_16435	chr19	4743737	4745362	+	0		promoter-TSS (KWMTBOMO11399)	-promoter-TSS (KWMTBOMO11399)	-704	KWMTBOMO11399	KWMTBOMO11399	KWMTBOMO11399.mrna1						
Interval_13804	chr17	12232449	12232994	+	0		Intergenic	Intergenic	57635	KWMTBOMO10478	KWMTBOMO10478	KWMTBOMO10478.mrna1						
Interval_22823	chr22	15273054	15273906	+	0		intron (KWMTBOMO13366, intron 2 of 10)	-intron (KWMTBOMO13366, intron 2 of 10)	-3432	KWMTBOMO13367	KWMTBOMO13367	KWMTBOMO13367.mrna1						
Interval_30148	chr27	10045711	10046500	+	0		promoter-TSS (KWMTBOMO16134)	-promoter-TSS (KWMTBOMO16134)	-961	KWMTBOMO16134	KWMTBOMO16134	KWMTBOMO16134.mrna1						
Interval_20765	chr21	9223160	9224314	+	0		exon (KWMTBOMO12608, exon 1 of 7)	-exon (KWMTBOMO12608, exon 1 of 7)	107	KWMTBOMO12608	KWMTBOMO12608	KWMTBOMO12608.mrna1						
Interval_22785	chr22	15087952	15088921	+	0		Intergenic	Intergenic	-6523	KWMTBOMO13361	KWMTBOMO13361	KWMTBOMO13361.mrna1						
Interval_1048	chr10	6994395	6995316	+	0		promoter-TSS (KWMTBOMO05635)	-promoter-TSS (KWMTBOMO05635)	-268	KWMTBOMO05635	KWMTBOMO05635	KWMTBOMO05635.mrna1						
Interval_26682	chr25	1984905	1985456	+	0		promoter-TSS (KWMTBOMO14994)	-promoter-TSS (KWMTBOMO14994)	-84	KWMTBOMO14994	KWMTBOMO14994	KWMTBOMO14994.mrna1						
Interval_10784	chr15	15511785	15512492	+	0		intron (KWMTBOMO09304, intron 2 of 11)	-intron (KWMTBOMO09304, intron 2 of 11)	12222	KWMTBOMO09304	KWMTBOMO09304	KWMTBOMO09304.mrna1						
Interval_14137	chr17	15440224	15440473	+	0		Intergenic	Intergenic	41963	KWMTBOMO10603	KWMTBOMO10603	KWMTBOMO10603.mrna1						
Interval_38021	chr6	9359521	9360195	+	0		Intergenic	Intergenic	9321	KWMTBOMO03489	KWMTBOMO03489	KWMTBOMO03489.mrna1						
Interval_2315	chr10	17573683	17574305	+	0		promoter-TSS (KWMTBOMO06071)	-promoter-TSS (KWMTBOMO06071)	-221	KWMTBOMO06071	KWMTBOMO06071	KWMTBOMO06071.mrna1						
Interval_9285	chr15	1794249	1796221	+	0		promoter-TSS (KWMTBOMO08666)	-promoter-TSS (KWMTBOMO08666)	-432	KWMTBOMO08666	KWMTBOMO08666	KWMTBOMO08666.mrna1						
Interval_34073	chr4	8844145	8845080	+	0		promoter-TSS (KWMTBOMO01966)	-promoter-TSS (KWMTBOMO01966)	60	KWMTBOMO01966	KWMTBOMO01966	KWMTBOMO01966.mrna1						
Interval_11166	chr16	972777	973550	+	0		exon (KWMTBOMO09418, exon 1 of 10)	-exon (KWMTBOMO09418, exon 1 of 10)	143	KWMTBOMO09418	KWMTBOMO09418	KWMTBOMO09418.mrna1						
Interval_35443	chr5	3543912	3544973	+	0		promoter-TSS (KWMTBOMO02500)	-promoter-TSS (KWMTBOMO02500)	40	KWMTBOMO02500	KWMTBOMO02500	KWMTBOMO02500.mrna1						
Interval_13112	chr17	5613073	5614080	+	0		Intergenic	Intergenic	-1714	KWMTBOMO10241	KWMTBOMO10241	KWMTBOMO10241.mrna1						
Interval_13968	chr17	13656905	13657881	+	0		promoter-TSS (KWMTBOMO10544)	-promoter-TSS (KWMTBOMO10544)	-212	KWMTBOMO10544	KWMTBOMO10544	KWMTBOMO10544.mrna1						
Interval_41332	chr8	10641559	10642314	+	0		promoter-TSS (KWMTBOMO04607)	-promoter-TSS (KWMTBOMO04607)	-160	KWMTBOMO04607	KWMTBOMO04607	KWMTBOMO04607.mrna1						
Interval_10954	chr15	18070883	18071354	+	0		promoter-TSS (KWMTBOMO09359)	-promoter-TSS (KWMTBOMO09359)	-74	KWMTBOMO09359	KWMTBOMO09359	KWMTBOMO09359.mrna1						
Interval_25970	chr24	11519794	11520349	+	0		exon (KWMTBOMO14627, exon 1 of 9)	-exon (KWMTBOMO14627, exon 1 of 9)	137	KWMTBOMO14627	KWMTBOMO14627	KWMTBOMO14627.mrna1						
Interval_7429	chr13	17437076	17437672	+	0		intron (KWMTBOMO08136, intron 2 of 6)	-intron (KWMTBOMO08136, intron 2 of 6)	-17725	KWMTBOMO08135	KWMTBOMO08135	KWMTBOMO08135.mrna1						
Interval_33619	chr4	4736937	4738201	+	0		promoter-TSS (KWMTBOMO01791)	-promoter-TSS (KWMTBOMO01791)	19	KWMTBOMO01791	KWMTBOMO01791	KWMTBOMO01791.mrna1						
Interval_19996	chr21	2068020	2069251	+	0		intron (KWMTBOMO12393, intron 1 of 14)	-intron (KWMTBOMO12393, intron 1 of 14)	14788	KWMTBOMO12393	KWMTBOMO12393	KWMTBOMO12393.mrna1						
Interval_20679	chr21	8435249	8436223	+	0		intron (KWMTBOMO12578, intron 2 of 10)	-intron (KWMTBOMO12578, intron 2 of 10)	1969	KWMTBOMO12578	KWMTBOMO12578	KWMTBOMO12578.mrna1						
Interval_1638	chr10	11722774	11723135	+	0		Intergenic	Intergenic	-21609	KWMTBOMO05837	KWMTBOMO05837	KWMTBOMO05837.mrna1						
Interval_34475	chr4	12788287	12789005	+	0		promoter-TSS (KWMTBOMO02151)	-promoter-TSS (KWMTBOMO02151)	-60	KWMTBOMO02151	KWMTBOMO02151	KWMTBOMO02151.mrna1						
Interval_30134	chr27	9926443	9927037	+	0		intron (KWMTBOMO16131, intron 1 of 3)	-intron (KWMTBOMO16131, intron 1 of 3)	3595	KWMTBOMO16131	KWMTBOMO16131	KWMTBOMO16131.mrna1						
Interval_4155	chr12	748437	750032	+	0		promoter-TSS (KWMTBOMO06967)	-promoter-TSS (KWMTBOMO06967)	-682	KWMTBOMO06967	KWMTBOMO06967	KWMTBOMO06967.mrna1						
Interval_8941	chr14	12517637	12518834	+	0		intron (KWMTBOMO08543, intron 1 of 3)	-intron (KWMTBOMO08543, intron 1 of 3)	197	KWMTBOMO08543	KWMTBOMO08543	KWMTBOMO08543.mrna1						
Interval_23385	chr23	1836734	1837430	+	0		Intergenic	Intergenic	-5797	KWMTBOMO13573	KWMTBOMO13573	KWMTBOMO13573.mrna1						
Interval_24609	chr23	15275502	15277479	+	0		intron (KWMTBOMO13982, intron 1 of 3)	-intron (KWMTBOMO13982, intron 1 of 3)	103	KWMTBOMO13982	KWMTBOMO13982	KWMTBOMO13982.mrna1						
Interval_8676	chr14	9856572	9857408	+	0		Intergenic	Intergenic	-68264	KWMTBOMO08467	KWMTBOMO08467	KWMTBOMO08467.mrna1						
Interval_29430	chr27	5068398	5068907	+	0		intron (KWMTBOMO15980, intron 12 of 14)	-intron (KWMTBOMO15980, intron 12 of 14)	-4961	KWMTBOMO15981	KWMTBOMO15981	KWMTBOMO15981.mrna1						
Interval_13547	chr17	10007393	10008266	+	0		Intergenic	Intergenic	-10035	KWMTBOMO10395	KWMTBOMO10395	KWMTBOMO10395.mrna1						
Interval_3591	chr11	14708000	14709084	+	0		promoter-TSS (KWMTBOMO06774)	-promoter-TSS (KWMTBOMO06774)	-51	KWMTBOMO06774	KWMTBOMO06774	KWMTBOMO06774.mrna1						
Interval_9278	chr15	1742720	1743778	+	0		Intergenic	Intergenic	-2638	KWMTBOMO08662	KWMTBOMO08662	KWMTBOMO08662.mrna1						
Interval_18410	chr2	8185377	8185925	+	0		Intergenic	Intergenic	-4691	KWMTBOMO00997	KWMTBOMO00997	KWMTBOMO00997.mrna1						
Interval_21678	chr22	2895962	2896796	+	0		intron (KWMTBOMO12877, intron 1 of 3)	-intron (KWMTBOMO12877, intron 1 of 3)	6047	KWMTBOMO12877	KWMTBOMO12877	KWMTBOMO12877.mrna1						
Interval_16799	chr19	8067823	8068560	+	0		intron (KWMTBOMO11561, intron 3 of 21)	-intron (KWMTBOMO11561, intron 3 of 21)	9466	KWMTBOMO11561	KWMTBOMO11561	KWMTBOMO11561.mrna1						
Interval_6372	chr13	5677156	5678253	+	0		Intergenic	Intergenic	70309	KWMTBOMO07737	KWMTBOMO07737	KWMTBOMO07737.mrna1						
Interval_23207	chr23	483115	483835	+	0		Intergenic	Intergenic	-8878	KWMTBOMO13513	KWMTBOMO13513	KWMTBOMO13513.mrna1						
Interval_28665	chr26	9488883	9489612	+	0		Intergenic	Intergenic	-8521	KWMTBOMO15761	KWMTBOMO15761	KWMTBOMO15761.mrna1						
Interval_43910	chr9	16018206	16019158	+	0		Intergenic	Intergenic	36798	KWMTBOMO05378	KWMTBOMO05378	KWMTBOMO05378.mrna1						
Interval_12548	chr16	14040145	14040819	+	0		intron (KWMTBOMO09980, intron 2 of 4)	-intron (KWMTBOMO09980, intron 2 of 4)	410	KWMTBOMO09980	KWMTBOMO09980	KWMTBOMO09980.mrna1						
Interval_39477	chr7	7522624	7523928	+	0		intron (KWMTBOMO03982, intron 5 of 18)	-intron (KWMTBOMO03982, intron 5 of 18)	6044	KWMTBOMO03982	KWMTBOMO03982	KWMTBOMO03982.mrna1						
Interval_37921	chr6	8084844	8085441	+	0		intron (KWMTBOMO03447, intron 1 of 2)	-intron (KWMTBOMO03447, intron 1 of 2)	2450	KWMTBOMO03447	KWMTBOMO03447	KWMTBOMO03447.mrna1						
Interval_20544	chr21	6893863	6894358	+	0		intron (KWMTBOMO12549, intron 3 of 3)	-intron (KWMTBOMO12549, intron 3 of 3)	1553	KWMTBOMO12549	KWMTBOMO12549	KWMTBOMO12549.mrna1						
Interval_25020	chr23	19796747	19797308	+	0		promoter-TSS (KWMTBOMO14175)	-promoter-TSS (KWMTBOMO14175)	-133	KWMTBOMO14175	KWMTBOMO14175	KWMTBOMO14175.mrna1						
Interval_21769	chr22	3676323	3676833	+	0		promoter-TSS (KWMTBOMO12894)	-promoter-TSS (KWMTBOMO12894)	-258	KWMTBOMO12894	KWMTBOMO12894	KWMTBOMO12894.mrna1						
Interval_43353	chr9	10966320	10967718	+	0		Intergenic	Intergenic	27564	KWMTBOMO05207	KWMTBOMO05207	KWMTBOMO05207.mrna1						
Interval_27423	chr25	9455951	9457254	+	0		promoter-TSS (KWMTBOMO15336)	-promoter-TSS (KWMTBOMO15336)	-114	KWMTBOMO15336	KWMTBOMO15336	KWMTBOMO15336.mrna1						
Interval_36629	chr5	13654520	13655501	+	0		intron (KWMTBOMO02906, intron 1 of 4)	-intron (KWMTBOMO02906, intron 1 of 4)	186	KWMTBOMO02906	KWMTBOMO02906	KWMTBOMO02906.mrna1						
Interval_2071	chr10	15350150	15351540	+	0		promoter-TSS (KWMTBOMO05954)	-promoter-TSS (KWMTBOMO05954)	-625	KWMTBOMO05954	KWMTBOMO05954	KWMTBOMO05954.mrna1						
Interval_31796	chr3	4522579	4523766	+	0		intron (KWMTBOMO01203, intron 6 of 7)	-intron (KWMTBOMO01203, intron 6 of 7)	19987	KWMTBOMO01203	KWMTBOMO01203	KWMTBOMO01203.mrna1						
Interval_36669	chr5	14072406	14073521	+	0		promoter-TSS (KWMTBOMO02928)	-promoter-TSS (KWMTBOMO02928)	-248	KWMTBOMO02928	KWMTBOMO02928	KWMTBOMO02928.mrna1						
Interval_21632	chr22	2649272	2650420	+	0		Intergenic	Intergenic	-57411	KWMTBOMO12872	KWMTBOMO12872	KWMTBOMO12872.mrna1						
Interval_35824	chr5	6194875	6196665	+	0		Intergenic	Intergenic	6708	KWMTBOMO02578	KWMTBOMO02578	KWMTBOMO02578.mrna1						
Interval_19309	chr20	7673582	7674682	+	0		promoter-TSS (KWMTBOMO12107)	-promoter-TSS (KWMTBOMO12107)	-88	KWMTBOMO12107	KWMTBOMO12107	KWMTBOMO12107.mrna1						
Interval_39430	chr7	7022999	7023818	+	0		exon (KWMTBOMO03960, exon 2 of 3)	-exon (KWMTBOMO03960, exon 2 of 3)	294	KWMTBOMO03960	KWMTBOMO03960	KWMTBOMO03960.mrna1						
Interval_21844	chr22	4354225	4355100	+	0		Intergenic	Intergenic	8282	KWMTBOMO12924	KWMTBOMO12924	KWMTBOMO12924.mrna1						
Interval_12379	chr16	12228396	12229679	+	0		exon (KWMTBOMO09924, exon 5 of 12)	-exon (KWMTBOMO09924, exon 5 of 12)	28153	KWMTBOMO09924	KWMTBOMO09924	KWMTBOMO09924.mrna1						
Interval_34413	chr4	12385461	12386358	+	0		promoter-TSS (KWMTBOMO02113)	-promoter-TSS (KWMTBOMO02113)	76	KWMTBOMO02113	KWMTBOMO02113	KWMTBOMO02113.mrna1						
Interval_13125	chr17	5741065	5742296	+	0		Intergenic	Intergenic	-8411	KWMTBOMO10245	KWMTBOMO10245	KWMTBOMO10245.mrna1						
Interval_5534	chr12	14976138	14976554	+	0		Intergenic	Intergenic	51012	KWMTBOMO07496	KWMTBOMO07496	KWMTBOMO07496.mrna1						
Interval_36727	chr5	14418039	14418928	+	0		intron (KWMTBOMO02957, intron 1 of 3)	-intron (KWMTBOMO02957, intron 1 of 3)	188	KWMTBOMO02957	KWMTBOMO02957	KWMTBOMO02957.mrna1						
Interval_11206	chr16	1295356	1295922	+	0		intron (KWMTBOMO09443, intron 1 of 8)	-intron (KWMTBOMO09443, intron 1 of 8)	7078	KWMTBOMO09443	KWMTBOMO09443	KWMTBOMO09443.mrna1						
Interval_1982	chr10	14555765	14556897	+	0		intron (KWMTBOMO05928, intron 5 of 23)	-intron (KWMTBOMO05928, intron 5 of 23)	4693	KWMTBOMO05928	KWMTBOMO05928	KWMTBOMO05928.mrna1						
Interval_18296	chr2	7247171	7247803	+	0		TTS (KWMTBOMO00956)	-TTS (KWMTBOMO00956)	8211	KWMTBOMO00956	KWMTBOMO00956	KWMTBOMO00956.mrna1						
Interval_10439	chr15	12015935	12017019	+	0		Intergenic	Intergenic	25336	KWMTBOMO09142	KWMTBOMO09142	KWMTBOMO09142.mrna1						
